goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,ageCode,ageDesc,sexCode,sexDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2011,value_2014,value_2017,value_latest_year,latest_year,ObjectId
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,12,Algeria,15,Northern Africa,Country,DZA,1,2.678164227,28.15940032,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes the deep South and governorates that represent security risks within Algiers Province. The excluded area represents approximately 25% of the total adult population. // [2014]: Sparsely populated areas in the far South were excluded, representing approximately 10% of the population. // [2017]: Global Findex data exclude sparsely populated areas in the far South, representing about 10 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,46.13,60.91,56.25,56.25,2017,15
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,12,Algeria,15,Northern Africa,Country,DZA,1,2.678164227,28.15940032,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes the deep South and governorates that represent security risks within Algiers Province. The excluded area represents approximately 25% of the total adult population. // [2014]: Sparsely populated areas in the far South were excluded, representing approximately 10% of the population. // [2017]: Global Findex data exclude sparsely populated areas in the far South, representing about 10 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,20.41,40.07,29.27,29.27,2017,16
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,12,Algeria,15,Northern Africa,Country,DZA,1,2.678164227,28.15940032,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes the deep South and governorates that represent security risks within Algiers Province. The excluded area represents approximately 25% of the total adult population. // [2014]: Sparsely populated areas in the far South were excluded, representing approximately 10% of the population. // [2017]: Global Findex data exclude sparsely populated areas in the far South, representing about 10 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,33.29,50.48,42.78,42.78,2017,17
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,16,American Samoa,61,Polynesia,Country,ASM,0,-170.7187269,-14.30587306,Y_GE15,15 years old and over,M,Male,,,,,,,,,,,,,,,,,18
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,16,American Samoa,61,Polynesia,Country,ASM,0,-170.7187269,-14.30587306,Y_GE15,15 years old and over,F,Female,,,,,,,,,,,,,,,,,19
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,16,American Samoa,61,Polynesia,Country,ASM,0,-170.7187269,-14.30587306,Y_GE15,15 years old and over,_T,Both sexes,,,,,,,,,,,,,,,,,20
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,20,Andorra,39,Southern Europe,Country,AND,1,1.576257417,42.54548611,Y_GE15,15 years old and over,M,Male,,,,,,,,,,,,,,,,,21
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,20,Andorra,39,Southern Europe,Country,AND,1,1.576257417,42.54548611,Y_GE15,15 years old and over,F,Female,,,,,,,,,,,,,,,,,22
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,20,Andorra,39,Southern Europe,Country,AND,1,1.576257417,42.54548611,Y_GE15,15 years old and over,_T,Both sexes,,,,,,,,,,,,,,,,,23
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,24,Angola,17,Middle Africa,Country,AGO,1,17.57817062,-12.33724746,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,[2011]: The sample excludes some rural areas because of inaccessibility and security risks. The excluded area represents approximately 15% of the total adult population.,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,39.48,36.13,,36.13,2014,24
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,24,Angola,17,Middle Africa,Country,AGO,1,17.57817062,-12.33724746,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,[2011]: The sample excludes some rural areas because of inaccessibility and security risks. The excluded area represents approximately 15% of the total adult population.,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,38.93,22.33,,22.33,2014,25
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,24,Angola,17,Middle Africa,Country,AGO,1,17.57817062,-12.33724746,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,[2011]: The sample excludes some rural areas because of inaccessibility and security risks. The excluded area represents approximately 15% of the total adult population.,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,39.2,29.32,,29.32,2014,26
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,28,Antigua and Barbuda,29,Caribbean,Country,ATG,1,-61.7999755,17.07761471,Y_GE15,15 years old and over,M,Male,,,,,,,,,,,,,,,,,27
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,28,Antigua and Barbuda,29,Caribbean,Country,ATG,1,-61.7999755,17.07761471,Y_GE15,15 years old and over,F,Female,,,,,,,,,,,,,,,,,28
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,28,Antigua and Barbuda,29,Caribbean,Country,ATG,1,-61.7999755,17.07761471,Y_GE15,15 years old and over,_T,Both sexes,,,,,,,,,,,,,,,,,29
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,31,Azerbaijan,145,Western Asia,Country,AZE,1,50.01064725,40.39229544,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes Nagorno-Karabakh and territories because of security risks. The excluded area represents approximately 10% of the total adult population. // [2014]: The sample excludes Kelbadjaro-Lacha, Nakhichevan and Nagorno-Karabakh territories. These areas represent approximately 14% of the total population. // [2017]: Global Findex data exclude Kelbadjaro-Lacha, Nagorno-Karabakh, and Nakhichevan territories, representing about 14 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,15.62,32.61,29.44,29.44,2017,30
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,31,Azerbaijan,145,Western Asia,Country,AZE,1,50.01064725,40.39229544,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes Nagorno-Karabakh and territories because of security risks. The excluded area represents approximately 10% of the total adult population. // [2014]: The sample excludes Kelbadjaro-Lacha, Nakhichevan and Nagorno-Karabakh territories. These areas represent approximately 14% of the total population. // [2017]: Global Findex data exclude Kelbadjaro-Lacha, Nagorno-Karabakh, and Nakhichevan territories, representing about 14 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,14.26,25.9,27.72,27.72,2017,31
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,31,Azerbaijan,145,Western Asia,Country,AZE,1,50.01064725,40.39229544,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,"[2011]: The sample excludes Nagorno-Karabakh and territories because of security risks. The excluded area represents approximately 10% of the total adult population. // [2014]: The sample excludes Kelbadjaro-Lacha, Nakhichevan and Nagorno-Karabakh territories. These areas represent approximately 14% of the total population. // [2017]: Global Findex data exclude Kelbadjaro-Lacha, Nagorno-Karabakh, and Nakhichevan territories, representing about 14 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,14.9,29.15,28.57,28.57,2017,32
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,32,Argentina,5,South America,Country,ARG,1,-65.14563274,-35.19446255,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude dispersed rural population areas, representing about 5.7 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,34.61,49.46,46.47,46.47,2017,33
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,32,Argentina,5,South America,Country,ARG,1,-65.14563274,-35.19446255,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude dispersed rural population areas, representing about 5.7 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,31.82,50.85,50.76,50.76,2017,34
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,32,Argentina,5,South America,Country,ARG,1,-65.14563274,-35.19446255,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude dispersed rural population areas, representing about 5.7 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,33.13,50.2,48.71,48.71,2017,35
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,36,Australia,53,Australia and New Zealand,Country,AUS,1,134.3499412,-25.57717202,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,99.59,98.67,99.85,99.85,2017,36
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,36,Australia,53,Australia and New Zealand,Country,AUS,1,134.3499412,-25.57717202,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,98.59,99.04,99.2,99.2,2017,37
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,36,Australia,53,Australia and New Zealand,Country,AUS,1,134.3499412,-25.57717202,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,99.06,98.86,99.52,99.52,2017,38
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,40,Austria,155,Western Europe,Country,AUT,1,14.14172472,47.58704857,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,97.74,96.06,97.93,97.93,2017,39
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,40,Austria,155,Western Europe,Country,AUT,1,14.14172472,47.58704857,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,96.56,97.37,98.38,98.38,2017,40
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,40,Austria,155,Western Europe,Country,AUT,1,14.14172472,47.58704857,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,97.08,96.73,98.16,98.16,2017,41
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,44,Bahamas,29,Caribbean,Country,BHS,1,-78.05111663,24.69546597,Y_GE15,15 years old and over,M,Male,,,,,,,,,,,,,,,,,42
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,44,Bahamas,29,Caribbean,Country,BHS,1,-78.05111663,24.69546597,Y_GE15,15 years old and over,F,Female,,,,,,,,,,,,,,,,,43
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,44,Bahamas,29,Caribbean,Country,BHS,1,-78.05111663,24.69546597,Y_GE15,15 years old and over,_T,Both sexes,,,,,,,,,,,,,,,,,44
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,48,Bahrain,145,Western Asia,Country,BHR,1,50.5490754,26.04407747,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,"[2011]: The sample includes only Bahraini nationals and Arab expatriates. The excluded population represents approximately 25% of the total adult population. // [2014]: The sample excludes residents unable to participate in survey in Arabic or English // [2017]: Global Findex data include only Bahraini nationals, Arab expatriates, and non-Arabs who were able to participate in the survey in Arabic or English.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,78.98,90.25,86.31,86.31,2017,45
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,48,Bahrain,145,Western Asia,Country,BHR,1,50.5490754,26.04407747,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,"[2011]: The sample includes only Bahraini nationals and Arab expatriates. The excluded population represents approximately 25% of the total adult population. // [2014]: The sample excludes residents unable to participate in survey in Arabic or English // [2017]: Global Findex data include only Bahraini nationals, Arab expatriates, and non-Arabs who were able to participate in the survey in Arabic or English.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,48.78,66.74,75.41,75.41,2017,46
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,48,Bahrain,145,Western Asia,Country,BHR,1,50.5490754,26.04407747,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,"[2011]: The sample includes only Bahraini nationals and Arab expatriates. The excluded population represents approximately 25% of the total adult population. // [2014]: The sample excludes residents unable to participate in survey in Arabic or English // [2017]: Global Findex data include only Bahraini nationals, Arab expatriates, and non-Arabs who were able to participate in the survey in Arabic or English.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,64.51,81.94,82.61,82.61,2017,47
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,50,Bangladesh,34,Southern Asia,Country,BGD,1,89.17660788,22.86961622,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude three hill districts in Chittagong (Bandarban, Khagrachori, and Rangamati) for security reasons. The excluded areas represent about 1 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,37.29,35.37,64.59,64.59,2017,48
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,50,Bangladesh,34,Southern Asia,Country,BGD,1,89.17660788,22.86961622,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude three hill districts in Chittagong (Bandarban, Khagrachori, and Rangamati) for security reasons. The excluded areas represent about 1 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,26.01,26.45,35.84,35.84,2017,49
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,50,Bangladesh,34,Southern Asia,Country,BGD,1,89.17660788,22.86961622,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,"[2017]: Global Findex data exclude three hill districts in Chittagong (Bandarban, Khagrachori, and Rangamati) for security reasons. The excluded areas represent about 1 percent of the population.","Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,31.74,30.99,50.05,50.05,2017,50
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,51,Armenia,145,Western Asia,Country,ARM,1,44.93839317,40.29499741,Y_GE15,15 years old and over,M,Male,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,16.72,21.12,55.75,55.75,2017,51
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,51,Armenia,145,Western Asia,Country,ARM,1,44.93839317,40.29499741,Y_GE15,15 years old and over,F,Female,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,18.15,14.74,40.91,40.91,2017,52
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,51,Armenia,145,Western Asia,Country,ARM,1,44.93839317,40.29499741,Y_GE15,15 years old and over,_T,Both sexes,PERCENT,Percentage,,,G,Global,,,"Global Financial Inclusion Database, World Bank.",,G: Global monitoring data,17.49,17.67,47.76,47.76,2017,53
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,52,Barbados,29,Caribbean,Country,BRB,1,-59.5346489,13.13648273,Y_GE15,15 years old and over,M,Male,,,,,,,,,,,,,,,,,54
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,52,Barbados,29,Caribbean,Country,BRB,1,-59.5346489,13.13648273,Y_GE15,15 years old and over,F,Female,,,,,,,,,,,,,,,,,55
8,8.10,8.10.2,FB_BNK_ACCSS,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)",2019.Q2.G.01,52,Barbados,29,Caribbean,Country,BRB,1,-59.5346489,13.13648273,Y_GE15,15 years old and over,_T,Both sexes,,,,,,,,,,,,,,,,,56
