goal,target,indicator,seriesCode,seriesDesc,release,geoAreaCode,geoAreaName,parentCode,parentName,type,ISO3,UN_Member,X,Y,ageCode,ageDesc,sexCode,sexDesc,typeOfSkillCode,typeOfSkillDesc,unitsCode,unitsDesc,unitmultiplierCode,unitmultiplierDesc,reportingTypeCode,reportingTypeDesc,valueDetails,footnotes,sources,timeDetails,nature,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_latest_year,latest_year,ObjectId
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1012
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1013
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1014
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1015
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,728,South Sudan,14,Eastern Africa,Country,SSD,1,30.32618773,7.290839152,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1016
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1017
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1018
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1019
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1020
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1021
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,729,Sudan,15,Northern Africa,Country,SDN,0,29.95650159,16.02643066,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1022
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1023
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1024
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1025
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1026
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1027
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,732,Western Sahara,15,Northern Africa,Country,ESH,0,-13.13515523,24.66265342,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1028
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1029
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1030
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1031
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1032
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1033
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,740,Suriname,5,South America,Country,SUR,1,-55.90626394,4.132603197,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1034
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1035
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1036
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1037
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1038
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1039
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,744,Svalbard and Jan Mayen Islands,154,Northern Europe,Country,SJM,0,13.38071013,78.82894131,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1040
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1041
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1042
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1043
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1044
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1045
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,748,Eswatini,18,Southern Africa,Country,SWZ,1,31.50149288,-26.56471011,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1046
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,86.015120,,,,,,86.015120,2012,1047
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,87.429480,,,,,,87.429480,2012,1048
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,85.296550,,,,,,85.296550,2012,1049
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,87.508160,,,,,,87.508160,2012,1050
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,83.019010,,,,,,83.019010,2012,1051
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,752,Sweden,154,Northern Europe,Country,SWE,1,14.3775338,60.60103109,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,PERCENT,Percentage,,,G,Global,,,Programme for the International Assessment of Adult Competencies (PIAAC),,C: Country data,,,,,,,86.732680,,,,,,86.732680,2012,1052
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1053
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1054
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1055
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1056
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1057
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,756,Switzerland,155,Western Europe,Country,CHE,1,8.223158,46.96617097,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1058
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1059
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1060
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1061
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1062
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1063
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,760,Syrian Arab Republic,145,Western Asia,Country,SYR,1,38.50466565,35.01676176,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1064
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1065
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1066
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1067
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,M,Male,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1068
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,F,Female,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1069
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,762,Tajikistan,143,Central Asia,Country,TJK,1,69.294998,38.43069666,"Y16T65
",16 to 65 years old,_T,Both sexes,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1070
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,764,Thailand,35,South-Eastern Asia,Country,THA,1,101.0202951,15.13089239,"Y16T65
",16 to 65 years old,F,Female,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1071
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,764,Thailand,35,South-Eastern Asia,Country,THA,1,101.0202951,15.13089239,"Y16T65
",16 to 65 years old,M,Male,LITE,Literacy,,,,,,,,,,,,,,,,,,,,,,,,,,1072
4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",2019.Q2.G.01,764,Thailand,35,South-Eastern Asia,Country,THA,1,101.0202951,15.13089239,"Y16T65
",16 to 65 years old,_T,Both sexes,NUME,Numeracy,,,,,,,,,,,,,,,,,,,,,,,,,,1073
